Prediction,x,y
0,4.791560888,-8.99824763
0,-6.367444536,-7.460213505
0,9.027958449,-7.547152889
0,7.337564109,-2.044775086
1,3.227457364,3.741340476
0,4.99128343,-2.61451092
0,-6.480339888,-3.133718595
0,-2.060419243,8.062731102
0,-9.172928624,8.112490204
0,-8.036435602,-9.784778417
0,7.803453279,-9.106555646
0,-7.267715101,-9.050116306
0,8.028645102,0.406672007
0,8.372524771,1.240833831
0,-7.843093879,-2.351201243
0,6.560132117,-7.474235661
0,-4.425955525,4.344091479
1,2.433118396,3.253584912
0,-3.271284683,8.914061761
0,-6.9973595,-0.963866885
0,-3.527220304,-7.118454184
0,-9.525455687,-5.44089519
0,8.827049649,-5.959912094
1,-1.136071696,4.269217286
0,8.533983477,5.076748247
0,-2.624145464,-5.441987228
0,9.943230626,6.729199065
0,4.666708465,-2.74313961
1,-2.674279216,1.004182205
0,-2.568672509,-5.889169984
0,-8.966409635,-1.757486077
0,-6.094112719,-4.535841648
0,-8.336616385,8.181171426
0,-1.239503418,7.094000749
0,9.067651408,-5.79177452
1,-1.662612386,1.198224663
0,-8.328036343,-1.656793108
0,-9.079098761,-2.539307206
0,1.770760724,-9.020424796
1,-0.61293387,-1.981446221
0,-3.905401783,3.308805457
0,-0.599111512,-9.649422764
0,-5.591129019,3.744577174
0,7.739641997,5.967891057
0,-2.836930547,-8.588682638
0,9.365911122,-2.614020548
0,-7.965642447,-4.063998942
0,5.092354338,7.796038129
0,-6.952880421,9.275435276
0,-3.419541441,-4.209131273
0,-9.293895059,0.281082471
0,9.326241594,2.66934658
0,-9.108371321,1.639049565
1,-3.938709257,-0.018974941
0,3.862447542,-5.106973004
0,-3.666284176,-9.787038395
0,-0.321964707,-6.460462771
0,0.32633642,7.416720519
1,-4.002163068,-2.145251792
0,-5.176770047,5.982324831
0,-7.780723574,-7.404934167
0,5.626977489,0.191858343
0,7.293450086,2.262417184
0,5.019828255,-3.168497486
0,9.142378481,-1.506481516
0,9.441268527,-1.642742174
0,0.665302752,-5.56085107
0,-3.786987942,8.568416485
0,-9.400219711,-4.545392882
1,2.369764828,1.172467272
0,-3.236581178,8.203876048
1,-0.243375734,0.286065297
1,2.453424872,-0.852315194
0,-7.0466401,6.461114012
1,2.963327632,-2.56106056
0,-6.67523461,-0.952060521
0,-8.123961838,4.41428733
0,-5.291724064,-3.931992533
0,-8.059468619,-1.829674338
0,0.834287765,9.765242996
0,8.08548693,9.017367564
1,3.69176893,-0.944774662
0,-3.665449937,4.562685957
0,0.81533303,6.972835723
0,6.349348856,7.250890598
0,7.039736016,6.387235248
0,1.290824942,6.705204999
0,-4.936997102,7.881396814
0,-9.274161782,-3.766977692
0,4.46393598,-7.887169266
1,3.624824168,-3.302651213
0,0.708071574,-7.736415587
0,-7.601909415,5.400774874
0,5.413395557,-6.670007414
0,0.588733307,9.592163319
0,-4.32481573,3.948832679
0,-0.390074767,6.809423994
0,-7.666241142,7.484153209
1,-4.603206246,-0.502043971
0,5.829257385,5.985540523
0,3.171067778,8.536516737
0,2.329118984,7.89558661
0,9.670339997,-4.923294167
0,-9.397467446,2.55229049
0,8.094397454,-7.018425988
0,-8.013642057,2.130417545
0,5.699322408,4.701798743
0,-9.338182158,-0.281474434
0,9.171747715,4.448819682
0,2.518829766,9.759507885
1,-2.634901169,-1.193051316
0,4.557034471,-5.194356841
1,-4.1626488,2.502097497
0,4.564946274,-8.782260443
0,7.709421898,-3.934096154
0,-0.261099383,-9.282761549
1,2.602439967,-4.11781304
0,-6.834904377,-7.465987736
1,-0.81145367,0.333497211
0,-1.329624426,5.908418645
0,-9.989133503,-4.709546911
1,0.68970838,3.979157175
0,4.02770357,-3.015514419
0,-5.875070128,5.426069331
0,4.518221383,6.504642142
0,0.768516358,8.193675448
0,4.416064945,4.315585925
0,-6.029260884,-5.06973944
0,9.227122858,-7.349261702
0,-1.083885134,-8.813900631
1,-3.684791495,-1.514301845
1,-0.592258497,0.972392137
0,6.136077061,5.610614526
1,3.568165594,-2.68995961
1,4.196854001,-1.576519984
0,4.631395031,-5.482803881
0,5.135851656,8.654854381
1,-3.000260329,3.415919599
1,3.476036702,1.024000824
0,5.831921723,-4.06275586
0,-8.488080851,-9.352165647
1,-2.515062981,1.858044214
0,5.21821503,-2.059827771
1,0.482601771,-1.908161629
0,0.84437374,-9.674006647
0,2.241669958,8.16014138
0,7.934877939,6.865121211
0,0.542231077,-9.781757508
0,-6.478231587,-3.718832626
0,5.365099273,-7.837572778
0,-7.38949695,-3.210366518
0,8.203237221,0.688092176
0,-7.711638877,-9.112688565
0,5.694756893,-9.743052898
0,-5.912952608,7.465181856
0,-6.517887203,-7.057635164
0,9.53787861,-1.66166844
0,8.15279234,7.373576327
1,4.343661413,-2.228026845
0,9.254176425,-6.057030239
0,8.583782825,5.50298769
1,-2.29143202,-1.712673946
0,7.557594172,2.426548055
0,-5.101229399,-1.366441486
0,4.318312677,7.903710028
0,-6.880440179,-9.257603157
0,2.170782262,-7.570558613
1,2.228495714,-1.362271868
0,8.986149687,-8.329619388
0,7.730925008,0.354845359
1,-0.280550392,1.709185735
0,6.276680118,-1.023410877
0,2.401147397,5.455888841
0,-7.541546386,-1.662316368
0,0.232773884,5.973208706
0,-6.648818645,-7.000578397
0,-6.351093851,7.973035988
0,6.775200214,-8.133490822
1,-3.259245733,2.504652329
0,-7.788300655,3.334832317
0,-0.064455235,5.234668761
1,-4.368234021,-1.667883136
0,-6.67695692,2.909142004
0,0.61863932,-6.178472523
0,-6.612536893,4.68302029
1,-3.075296589,2.256043998
0,-5.128170953,-6.028494829
0,4.911499296,3.73039527
0,-7.776505717,-6.521534519
1,-2.880097669,2.989151919
0,-3.980981772,-9.020810238
0,-9.060170142,5.638026499
0,5.561417664,-2.224091433
1,-0.264271455,1.296801931
0,-5.796183609,7.765821268
0,-0.983223812,6.901048606
0,-8.272415941,6.246158213
0,-4.318355112,-9.347290945
0,-0.808543606,5.741367456
1,-1.154583322,-1.787937348
0,7.763353495,6.127231856
0,6.282833642,-5.057158408
0,-3.98189434,6.74117114
0,6.139887612,-1.415029452
0,-7.832023753,1.117745317
0,2.761640734,-5.598227663
0,-3.497089346,-7.983065282
0,-5.052114689,-7.335574645
1,-4.133104995,-2.175798635
1,-0.078366823,4.908599014
0,6.879016592,-1.084184532
1,4.458446093,-0.101930569
0,-5.826241334,7.354691082
0,8.094240342,2.832905089
0,8.681892509,7.30789721
0,-7.656230769,-2.350393579
0,6.309968376,1.459972676
0,-7.942552599,-1.665540208
1,2.27962105,-0.201567242
0,-9.348750072,-0.576645887
0,-5.678774946,0.290136764
0,-7.003348493,-4.53201001
0,6.250876011,2.889437954
0,5.355373585,-8.874813623
0,-3.288818118,-7.211970505
0,9.045227416,4.531523726
0,9.672229206,8.669838979
0,5.347921703,0.48664229
0,-4.105155269,-7.416406506
0,2.929031857,4.536494784
0,-8.591545403,-6.14546726
0,-5.047149077,-9.008041413
0,-1.230328591,8.465424887
0,3.839653161,-4.110260613
0,6.28797615,0.138344385
0,8.474454864,-4.162014271
1,-1.334731145,4.753940886
0,-8.761464424,7.997683936
0,-0.765227184,-9.19567696
0,-8.688312314,-8.801537602
1,1.571792056,4.110019712
0,8.840763776,5.484614745
0,7.977712869,8.850090688
1,0.169567908,2.637780964
0,5.793645263,0.541035534
0,-8.509056427,0.948963849
0,-5.800957363,8.741470527
0,-6.447772999,0.784609621
1,-1.879523234,3.883476849
0,8.690871363,7.979837195
0,0.850618499,-9.856699369
0,6.896080785,8.257683187
0,-6.223055296,-9.206080499
0,7.273389163,8.003835362
0,6.925828573,-5.768050243
0,-3.920629965,4.681312776
0,6.014599146,9.313383133
0,3.653736049,-7.539121158
0,9.75689975,-6.906623649
0,5.8091881,-0.179610576
1,-1.52425442,4.329057547
0,-2.333862279,4.689135791
0,1.38112922,8.745304709
1,-0.511513632,0.887145273
0,7.928898715,-7.453337486
0,9.722060536,-2.867528167
0,9.836338792,5.373305582
0,-9.043808472,4.406724874
0,-8.185035028,-0.173029162
0,9.814525178,3.689064872
0,-1.605408394,-6.700480754
0,2.341259122,-6.728802765
0,5.511369575,6.317557948
0,-8.036607726,2.626152544
0,9.343770252,5.752576618
0,-4.377580713,9.605431907
0,9.113119677,-3.232814112
1,-4.189756873,-0.414718031
0,3.823984528,-9.905808793
0,-3.134657017,-5.580878333
0,-7.201022457,-6.533451352
1,-2.440051112,3.24650532
1,-0.838524776,-0.90831721
1,-0.545646679,-2.271740129
0,3.682082126,4.83812003
1,1.198837918,-2.030258767
1,1.409307755,1.761812886
0,8.395613294,-2.088288369
0,-7.980348176,-6.799543059
1,-2.9441311,-3.872841793
0,-8.576009338,-3.484584993
0,-5.869403443,2.048061614
0,1.751944256,-8.635447122
0,-2.65981003,5.360170243
0,-1.472635848,-8.855570874
0,-3.284827062,-6.416761349
0,4.501765695,-8.978138927
0,7.142811633,-1.370120965
0,1.12793832,-8.382200145
0,-5.552325089,9.473726324
0,-9.371271977,6.530020097
1,0.757572064,4.148248436
0,8.510332432,-7.672964069
0,-6.547743899,1.943887143
0,-8.870128339,3.271230188
0,5.396547928,8.534535909
0,-6.509781654,-8.000017341
1,-1.518823749,-3.982866385
1,0.506863928,-3.423141723
1,1.760289299,-2.536480901
0,-1.260545824,-8.2423416
0,0.886295047,7.309280101
0,4.713886796,-6.488887351
0,4.975249283,4.046633428
0,3.137487492,8.149621289
0,7.969477368,-3.339282535
0,-6.107887118,5.358238906
0,-9.294051317,6.003417221
0,7.443374335,-6.690140668
0,5.074044496,-0.645832781
0,9.493693327,-8.571334944
